Name,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Image530,54,34,36,91,3,1,81,1,1,8
Image531,1,18,90,2,9,17,1,150,1,21
Image532,188,25,3,34,1,1,5,1,40,12
Image533,42,10,4,16,1,1,1,1,231,3
Image534,87,60,25,30,1,22,28,22,22,13
Image535,102,18,2,112,1,61,9,1,3,1
Image536,111,14,11,21,1,26,36,38,43,9
Image537,5,36,98,17,1,36,19,77,1,20
Image538,1,73,61,6,91,25,14,14,1,24
Image539,23,29,16,18,1,41,107,3,1,71
Image540,79,12,36,46,1,43,64,13,4,12
Image541,17,65,48,71,1,1,58,45,2,2
Image542,10,3,1,78,1,1,198,3,1,14
Image543,56,51,43,50,1,9,69,5,4,22
Image544,15,28,15,42,1,42,85,49,1,32
Image545,75,4,53,90,4,3,37,29,4,11
Image546,1,24,150,1,1,30,1,87,1,14
Image547,10,26,57,83,1,16,83,32,1,1
Image548,3,38,118,39,2,16,28,48,1,17
Image549,5,37,148,26,2,18,17,32,1,24
Image550,110,10,1,60,1,1,107,1,1,18
Image551,60,3,37,55,1,1,62,5,10,76
Image552,117,35,17,59,1,8,15,31,25,2
Image553,112,3,48,18,8,1,115,1,3,1
Image554,60,16,39,3,1,19,113,44,1,14
Image555,149,31,8,13,2,5,81,9,3,9
Image556,62,5,1,51,1,2,177,1,1,9
Image557,86,4,63,33,62,1,52,1,6,2
Image558,62,18,78,29,1,7,105,5,1,4
Image559,122,7,27,53,3,1,90,3,1,3
Image560,17,4,1,99,1,5,8,33,86,56
Image561,112,4,46,2,44,8,57,12,9,16
Image562,130,6,41,2,20,5,62,18,8,18
Image563,132,1,1,15,1,1,25,1,117,16
Image564,249,1,3,2,4,1,14,1,34,1
Image565,26,42,15,46,1,24,9,64,76,7
Image566,5,1,110,1,1,38,1,151,1,1
Image567,169,6,39,3,3,45,34,9,1,1
Image568,76,19,35,5,6,14,90,54,1,10
Image569,29,13,122,1,56,7,50,30,1,1
Image570,7,39,5,20,38,6,1,19,166,9
Image571,60,7,6,1,4,10,3,36,182,1
Image572,63,5,3,4,1,1,7,1,224,1
